FILENAME,Dataset,Nb inputs,Fq DKO,Fq DKN,Fq TOT,% DKO,% DKN,% TOT,Nb names,Modal name,Fq modal name,% Name Agreement (/Fq inputs),% Name Agreement (/Fq names),Nb diff names,H-value,Familiarity Nb inputs,Familiarity Mean,Familiarity StDev,Visual complexity Nb inputs,Visual complexity Mean,Visual complexity StDev,Nb categories (answer1),Nb categories (answer2),Nb categories (all answers),Modal category,Fq (answer1),Fq (answer2),% Category Agreement,% Category Agreement (all answers),Hcat-value
killerwhale,BOSS-2014 (v.2),41,0,0,1,0,0,0.024390243902439025,40,Killer whale,15,0.36585365853658536,0.375,6,2.1763620978123273,41,4.390243902439025,0.9969465577574307,41,2.658536585365854,1.3343492064965787,33,1,34,Sea mammal,28,0,0.8484848484848485,0.8235294117647058,0.7607327460318964
birdnest,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,Birds nest,30,0.7142857142857143,0.7142857142857143,3,1.0488412604661608,42,4.380952380952381,0.8540400673864842,42,2.8333333333333335,1.4299354695770266,33,3,36,Natural element,25,0,0.7575757575757576,0.6944444444444444,1.2232909452866925
bolt01a,BOSS-2014 (v.2),42,0,1,4,0,0.023809523809523808,0.09523809523809523,37,Bolt,21,0.5,0.5675675675675675,3,1.28785148140323,42,4.380952380952381,1.0109734732082631,42,2.0476190476190474,1.0109734732082627,32,2,34,Building material,16,1,0.5,0.5,1.4341963645051812
chainsaw,BOSS-2014 (v.2),42,0,2,1,0,0.047619047619047616,0.023809523809523808,39,Chainsaw,30,0.7142857142857143,0.7692307692307693,6,1.2544607350608235,42,4.380952380952381,0.7948732358632755,42,2.7142857142857144,1.3304265643790996,32,0,32,Hand labour tool & accessory,30,0,0.9375,0.9375,0.3997900666170139
chandelier,BOSS-2014 (v.2),42,0,2,1,0,0.047619047619047616,0.023809523809523808,39,Chandelier,13,0.30952380952380953,0.3333333333333333,10,2.444972711198368,42,4.380952380952381,0.8540400673864842,42,2.4761904761904763,1.0873573971677286,32,4,36,Electronic device & accessory,9,1,0.28125,0.2777777777777778,2.534567094075591
chimney,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,chimney,36,0.8571428571428571,0.8571428571428571,3,0.7345299214394703,42,4.380952380952381,0.8821365679453428,42,2.0714285714285716,0.9726217308691415,33,0,33,Building infrastructure,28,0,0.8484848484848485,0.8484848484848485,0.7230020642792743
cruiseship,BOSS-2014 (v.2),42,0,0,0,0,0,0,42,cruise ship,35,0.8333333333333334,0.8333333333333334,5,0.9570842538445389,42,4.380952380952381,0.7948732358632755,42,3.738095238095238,1.5781978578471572,33,0,33,Vehicle,29,0,0.8787878787878788,0.8787878787878788,0.7752593054584659
freezer02,BOSS-2014 (v.2),42,1,0,0,0.023809523809523808,0,0,41,freezer,25,0.5952380952380952,0.6097560975609756,11,2.145209438305769,42,4.380952380952381,0.961512552139088,42,1.7857142857142858,1.1160844946970352,33,1,34,Kitchen & utensil,13,0,0.3939393939393939,0.38235294117647056,2.2651408826835744
headlight,BOSS-2014 (v.2),42,0,1,0,0,0.023809523809523808,0,41,Headlight,16,0.38095238095238093,0.3902439024390244,5,1.839141190263669,42,4.380952380952381,0.8821365679453428,42,2.619047619047619,1.2678458964674355,33,1,34,Vehicle,19,0,0.5757575757575758,0.5588235294117647,1.7501328237394194
maplebuttercone,BOSS-2014 (v.2),42,0,3,4,0,0.07142857142857142,0.09523809523809523,35,Ice cream cone,19,0.4523809523809524,0.5428571428571428,8,2.1731255810137777,42,4.380952380952381,0.9358022761866657,42,2.1904761904761907,0.833391403319351,33,0,33,Food,33,0,1,1,0
